id,age,age_cat,sex,traploc,organ,THg
RF-18-CH-39,0,juvenile,F,Twin Lakes,claw,1764.902882
RF-18-CH-40,0,juvenile,F,Twin Lakes,claw,NA
RF-17-CH-01,0,juvenile,F,Seal River,brain,10.57063157
RF-17-CH-05,0,juvenile,F,Goose Creek,brain,42.80802241
RF-17-CH-06,1,adult,F,Wakeworth Lake,brain,NA
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,brain,25.81450148
RF-17-CH-10,5,adult,F,Goose Creek,brain,109.931754
RF-17-CH-14,0,juvenile,F,Town of Churchill,brain,46.11716935
RF-17-CH-19,2,adult,F,Southknife Lake,brain,NA
RF-17-CH-22,0,juvenile,F,Mack Lake area,brain,33.15230349
RF-18-CH-04,0,juvenile,F,Button Bay,brain,16.6764
RF-18-CH-12,0,juvenile,F,Twin Lakes,brain,53.3295
RF-18-CH-14,0,juvenile,F,North River,brain,12.4029
RF-18-CH-15,0,juvenile,F,Button Bay,brain,34.9539
RF-18-CH-17,0,juvenile,F,Button Bay,brain,17.46495
RF-18-CH-18,0,juvenile,F,North River,brain,21.0033
RF-18-CH-20,0,juvenile,F,Twin Lakes,brain,16.6996
RF-18-CH-21,7,adult,F,North River,brain,54.94716393
RF-18-CH-24,2,adult,F,North River,brain,20.8567
RF-18-CH-25,0,juvenile,F,North River,brain,40.32565
RF-18-CH-28,0,juvenile,F,North River,brain,26.48303333
RF-18-CH-29,0,juvenile,F,Town of Churchill,brain,30.13695
RF-18-CH-30,0,juvenile,F,Twin Lakes,brain,38.87715
RF-18-CH-33,0,juvenile,F,Town of Churchill,brain,NA
RF-18-CH-38,5,adult,F,Twin Lakes,brain,62.80416696
RF-18-CH-39,0,juvenile,F,Twin Lakes,brain,NA
RF-18-CH-40,0,juvenile,F,Twin Lakes,brain,126.3069981
RF-17-CH-01,0,juvenile,F,Seal River,GH,940.1566
RF-17-CH-05,0,juvenile,F,Goose Creek,GH,2467.966963
RF-17-CH-06,1,adult,F,Wakeworth Lake,GH,2089.975449
RF-17-CH-07,0,juvenile,F,Wakeworth Lake,GH,1159.580917
RF-17-CH-10,5,adult,F,Goose Creek,GH,2437.417656
RF-17-CH-14,0,juvenile,F,Town of Churchill,GH,1974.136398
RF-17-CH-19,2,adult,F,Southknife Lake,GH,2228.524
RF-17-CH-22,0,juvenile,F,Mack Lake area,GH,NA
RF-18-CH-04,0,juvenile,F,Button Bay,GH,577.03265
RF-18-CH-12,0,juvenile,F,Twin Lakes,GH,531.3318
RF-18-CH-14,0,juvenile,F,North River,GH,604.9926
RF-18-CH-15,0,juvenile,F,Button Bay,GH,2509.829
RF-18-CH-17,0,juvenile,F,Button Bay,GH,717.588
RF-18-CH-18,0,juvenile,F,North River,GH,504.7938
RF-18-CH-20,0,juvenile,F,Twin Lakes,GH,913.3898
RF-18-CH-21,7,adult,F,North River,GH,2747.210345
RF-18-CH-24,2,adult,F,North River,GH,2084.6407
RF-18-CH-25,0,juvenile,F,North River,GH,2361.85
RF-18-CH-28,0,juvenile,F,North River,GH,1461.9027
RF-18-CH-29,0,juvenile,F,Town of Churchill,GH,553.6322
RF-18-CH-30,0,juvenile,F,Twin Lakes,GH,NA
RF-18-CH-33,0,juvenile,F,Town of Churchill,GH,481.0860648
RF-18-CH-38,5,adult,F,Twin Lakes,GH,NA
RF-18-CH-39,0,juvenile,F,Twin Lakes,GH,2096.632419
RF-18-CH-40,0,juvenile,F,Twin Lakes,GH,NA
RF-17-CH-02,0,juvenile,M,Seal River,liver,123.96985
RF-17-CH-03,5,adult,M,Seal River,liver,287.2108
RF-17-CH-04,7,adult,M,Goose Creek,liver,344.38825
RF-17-CH-12,3,adult,M,Seal River,liver,239.08055
RF-17-CH-13,0,juvenile,M,Button Bay,liver,162.75855
RF-17-CH-18,9,adult,M,Southknife Lake,liver,823.33565
RF-17-CH-20,3,adult,M,Southknife Lake,liver,257.6811
RF-17-CH-23,5,adult,M,Southknife Lake,liver,181.33465
RF-18-CH-01,0,juvenile,M,Button Bay,liver,113.2119
RF-18-CH-02,0,juvenile,M,Town of Churchill,liver,178.6171
RF-18-CH-03,8,adult,M,Town of Churchill,liver,524.1555
RF-18-CH-05,9,adult,M,Seal River,liver,813.55445
RF-18-CH-06,0,juvenile,M,Seal River,liver,263.93025
RF-18-CH-07,0,juvenile,M,Twin Lakes,liver,86.916
RF-18-CH-08,10,adult,M,Line 25,liver,866.3033333
RF-18-CH-09,7,adult,M,Button Bay,liver,514.6424
RF-18-CH-10,8,adult,M,Line 25,liver,321.1452
RF-18-CH-11,0,juvenile,M,Line 25,liver,99.8016
RF-18-CH-13,10,adult,M,North River,liver,1348.4717
RF-18-CH-16,5,adult,M,Twin Lakes,liver,285.7407
RF-18-CH-19,1,adult,M,Town of Churchill,liver,221.6603
RF-18-CH-23,10,adult,M,North River,liver,684.63085
RF-18-CH-26,0,juvenile,M,Town of Churchill,liver,93.02885
RF-18-CH-27,8,adult,M,North River,liver,678.11105
RF-18-CH-31,0,juvenile,M,Town of Churchill,liver,94.0347
RF-18-CH-34,0,juvenile,M,Town of Churchill,liver,118.3506
RF-18-CH-35,5,adult,M,Town of Churchill,liver,336.2813
RF-18-CH-36,0,juvenile,M,Town of Churchill,liver,134.23935
RF-18-CH-37,7,adult,M,Town of Churchill,liver,289.7048
RF-17-CH-02,0,juvenile,M,Seal River,muscle,43.0278
RF-17-CH-03,5,adult,M,Seal River,muscle,108.39995
RF-17-CH-04,7,adult,M,Goose Creek,muscle,230.91375
RF-17-CH-12,3,adult,M,Seal River,muscle,96.58495
RF-17-CH-13,0,juvenile,M,Button Bay,muscle,65.266775
RF-17-CH-18,9,adult,M,Southknife Lake,muscle,394.33075
RF-17-CH-20,3,adult,M,Southknife Lake,muscle,64.9669
RF-17-CH-23,5,adult,M,Southknife Lake,muscle,48.85525
RF-18-CH-01,0,juvenile,M,Button Bay,muscle,24.7698
RF-18-CH-02,0,juvenile,M,Town of Churchill,muscle,59.0392
RF-18-CH-03,8,adult,M,Town of Churchill,muscle,195.2556
RF-18-CH-05,9,adult,M,Seal River,muscle,679.72865
RF-18-CH-06,0,juvenile,M,Seal River,muscle,75.3651
RF-18-CH-07,0,juvenile,M,Twin Lakes,muscle,32.75825
RF-18-CH-08,10,adult,M,Line 25,muscle,392.6433
RF-18-CH-09,7,adult,M,Button Bay,muscle,185.3098
RF-18-CH-10,8,adult,M,Line 25,muscle,79.933325
RF-18-CH-11,0,juvenile,M,Line 25,muscle,41.2328
RF-18-CH-13,10,adult,M,North River,muscle,509.91995
RF-18-CH-16,5,adult,M,Twin Lakes,muscle,166.189
RF-18-CH-19,1,adult,M,Town of Churchill,muscle,111.50165
RF-18-CH-23,10,adult,M,North River,muscle,320.78365
RF-18-CH-26,0,juvenile,M,Town of Churchill,muscle,31.17213333
RF-18-CH-27,8,adult,M,North River,muscle,265.22465
RF-18-CH-31,0,juvenile,M,Town of Churchill,muscle,48.2534
RF-18-CH-34,0,juvenile,M,Town of Churchill,muscle,121.5448
RF-18-CH-35,5,adult,M,Town of Churchill,muscle,78.1831
RF-18-CH-36,0,juvenile,M,Town of Churchill,muscle,42.7022
RF-18-CH-37,7,adult,M,Town of Churchill,muscle,135.9248
RF-17-CH-02,0,juvenile,M,Seal River,KidCort,NA
RF-17-CH-03,5,adult,M,Seal River,KidCort,NA
RF-17-CH-04,7,adult,M,Goose Creek,KidCort,NA
RF-17-CH-12,3,adult,M,Seal River,KidCort,NA
RF-17-CH-13,0,juvenile,M,Button Bay,KidCort,NA
RF-17-CH-18,9,adult,M,Southknife Lake,KidCort,1427.46005
RF-17-CH-20,3,adult,M,Southknife Lake,KidCort,326.74785
RF-17-CH-23,5,adult,M,Southknife Lake,KidCort,407.1727486
RF-18-CH-01,0,juvenile,M,Button Bay,KidCort,166.528
RF-18-CH-02,0,juvenile,M,Town of Churchill,KidCort,406.4808
RF-18-CH-03,8,adult,M,Town of Churchill,KidCort,1038.2269
RF-18-CH-05,9,adult,M,Seal River,KidCort,3494.8119
RF-18-CH-06,0,juvenile,M,Seal River,KidCort,295.5353
RF-18-CH-07,0,juvenile,M,Twin Lakes,KidCort,179.9623
RF-18-CH-08,10,adult,M,Line 25,KidCort,1114.69896
RF-18-CH-09,7,adult,M,Button Bay,KidCort,809.659675
RF-18-CH-10,8,adult,M,Line 25,KidCort,374.7522
RF-18-CH-11,0,juvenile,M,Line 25,KidCort,331.766075
RF-18-CH-13,10,adult,M,North River,KidCort,1630.8091
RF-18-CH-16,5,adult,M,Twin Lakes,KidCort,717.532
RF-18-CH-19,1,adult,M,Town of Churchill,KidCort,497.203325
RF-18-CH-23,10,adult,M,North River,KidCort,961.4412
RF-18-CH-26,0,juvenile,M,Town of Churchill,KidCort,268.4909333
RF-18-CH-27,8,adult,M,North River,KidCort,1483.88525
RF-18-CH-31,0,juvenile,M,Town of Churchill,KidCort,248.6937
RF-18-CH-34,0,juvenile,M,Town of Churchill,KidCort,327.5523
RF-18-CH-35,5,adult,M,Town of Churchill,KidCort,457.18
RF-18-CH-36,0,juvenile,M,Town of Churchill,KidCort,227.0431
RF-18-CH-37,7,adult,M,Town of Churchill,KidCort,540.6015
RF-17-CH-02,0,juvenile,M,Seal River,KidMed,NA
RF-17-CH-03,5,adult,M,Seal River,KidMed,NA
RF-17-CH-04,7,adult,M,Goose Creek,KidMed,NA
RF-17-CH-12,3,adult,M,Seal River,KidMed,NA
RF-17-CH-13,0,juvenile,M,Button Bay,KidMed,NA
RF-17-CH-18,9,adult,M,Southknife Lake,KidMed,522.60815
RF-17-CH-20,3,adult,M,Southknife Lake,KidMed,91.5303
RF-17-CH-23,5,adult,M,Southknife Lake,KidMed,49.63191289
RF-18-CH-01,0,juvenile,M,Button Bay,KidMed,54.9494
RF-18-CH-02,0,juvenile,M,Town of Churchill,KidMed,104.3522
RF-18-CH-03,8,adult,M,Town of Churchill,KidMed,277.2983
RF-18-CH-05,9,adult,M,Seal River,KidMed,1035.0161
RF-18-CH-06,0,juvenile,M,Seal River,KidMed,81.6972
RF-18-CH-07,0,juvenile,M,Twin Lakes,KidMed,37.556
RF-18-CH-08,10,adult,M,Line 25,KidMed,370.646775
RF-18-CH-09,7,adult,M,Button Bay,KidMed,235.05545
RF-18-CH-10,8,adult,M,Line 25,KidMed,109.8812
RF-18-CH-11,0,juvenile,M,Line 25,KidMed,69.687025
RF-18-CH-13,10,adult,M,North River,KidMed,411.198725
RF-18-CH-16,5,adult,M,Twin Lakes,KidMed,150.7134
RF-18-CH-19,1,adult,M,Town of Churchill,KidMed,95.3735
RF-18-CH-23,10,adult,M,North River,KidMed,366.2403
RF-18-CH-26,0,juvenile,M,Town of Churchill,KidMed,62.517425
RF-18-CH-27,8,adult,M,North River,KidMed,368.035325
RF-18-CH-31,0,juvenile,M,Town of Churchill,KidMed,73.1014
RF-18-CH-34,0,juvenile,M,Town of Churchill,KidMed,141.14215
RF-18-CH-35,5,adult,M,Town of Churchill,KidMed,116.3596
RF-18-CH-36,0,juvenile,M,Town of Churchill,KidMed,121.7517
RF-18-CH-37,7,adult,M,Town of Churchill,KidMed,144.30352
RF-17-CH-02,0,juvenile,M,Seal River,claw,209.8455483
RF-17-CH-03,5,adult,M,Seal River,claw,1046.932183
RF-17-CH-04,7,adult,M,Goose Creek,claw,NA
RF-17-CH-12,3,adult,M,Seal River,claw,NA
RF-17-CH-13,0,juvenile,M,Button Bay,claw,1708.023024
RF-17-CH-18,9,adult,M,Southknife Lake,claw,2097.108098
RF-17-CH-20,3,adult,M,Southknife Lake,claw,NA
RF-17-CH-23,5,adult,M,Southknife Lake,claw,1734.542671
RF-18-CH-01,0,juvenile,M,Button Bay,claw,415.4019
RF-18-CH-02,0,juvenile,M,Town of Churchill,claw,1727.203397
RF-18-CH-03,8,adult,M,Town of Churchill,claw,NA
RF-18-CH-05,9,adult,M,Seal River,claw,907.801
RF-18-CH-06,0,juvenile,M,Seal River,claw,1010.8812
RF-18-CH-07,0,juvenile,M,Twin Lakes,claw,607.5294
